a,b,c,d,e,f,g,h,i,j,k,l
6.375505053872416283e+03,5.737954548485172381e+02,2.007654670664870977e+01,2.709185604797845315e+00,1.593876263468103360e+01,8.673068177272242565e+02,3.251022725757413809e+02,9.961726646675646305e+07,8.081645233769101822e+00,1.806123736531896617e-01,7.969381317340516920e-04,4.015309341329741528e+02
6.616494946127585536e+03,5.709154548485172427e+02,2.027654670664870551e+01,2.745185604797844903e+00,1.585876263468103353e+01,8.759468177272241292e+02,3.294222725757413741e+02,9.911726646675646305e+07,8.162153553769101677e+00,1.830123736531896750e-01,7.929381317340517031e-04,4.055309341329741528e+02
7.608494946127587355e+03,5.680354548485172472e+02,2.047654670664870835e+01,2.781185604797844935e+00,1.577876263468103346e+01,8.845868177272242292e+02,3.337422725757413673e+02,9.861726646675646305e+07,8.242661873769101533e+00,1.854123736531896605e-01,7.889381317340517143e-04,4.095309341329741528e+02
8.600494946127588264e+03,5.651554548485172518e+02,2.067654670664870764e+01,2.817185604797844967e+00,1.569876263468103339e+01,8.932268177272241019e+02,3.380622725757414173e+02,9.811726646675646305e+07,8.323170193769101388e+00,1.878123736531896737e-01,7.849381317340517255e-04,4.135309341329741528e+02
9.592494946127586445e+03,5.622754548485171426e+02,2.087654670664870693e+01,2.853185604797844999e+00,1.561876263468103154e+01,9.018668177272242019e+02,3.423822725757414105e+02,9.761726646675644815e+07,8.403678513769101244e+00,1.902123736531896592e-01,7.809381317340516283e-04,4.175309341329741528e+02
9.415505053872413555e+03,5.593954548485172609e+02,2.107654670664870622e+01,2.889185604797845031e+00,1.553876263468103502e+01,9.105068177272241883e+02,3.467022725757414037e+02,9.711726646675647795e+07,8.484186833769101099e+00,1.926123736531896724e-01,7.769381317340518563e-04,4.215309341329741528e+02
8.423505053872415374e+03,5.565154548485171517e+02,2.127654670664870906e+01,2.925185604797845063e+00,1.545876263468103318e+01,9.191468177272241746e+02,3.510222725757414537e+02,9.661726646675646305e+07,8.564695153769100955e+00,1.950123736531896856e-01,7.729381317340516507e-04,4.255309341329741528e+02
7.431505053872413555e+03,5.536354548485172700e+02,2.147654670664870480e+01,2.961185604797844650e+00,1.537876263468103488e+01,9.277868177272241610e+02,3.553422725757413900e+02,9.611726646675646305e+07,8.645203473769100810e+00,1.974123736531896434e-01,7.689381317340517703e-04,4.295309341329741528e+02
6.439505053872417193e+03,5.507554548485171608e+02,2.167654670664870764e+01,2.997185604797844682e+00,1.529876263468103303e+01,9.364268177272242610e+02,3.596622725757413832e+02,9.561726646675646305e+07,8.725711793769100666e+00,1.998123736531896566e-01,7.649381317340516731e-04,4.335309341329741528e+02
6.552494946127584626e+03,5.478754548485172791e+02,2.187654670664870693e+01,3.033185604797845158e+00,1.521876263468103474e+01,9.450668177272241337e+02,3.639822725757413764e+02,9.511726646675646305e+07,8.806220113769100521e+00,2.022123736531896698e-01,7.609381317340517927e-04,4.375309341329741528e+02
7.544494946127586445e+03,5.449954548485172836e+02,2.207654670664870977e+01,3.069185604797844746e+00,1.513876263468103645e+01,9.537068177272242337e+02,3.683022725757413696e+02,9.461726646675647795e+07,8.886728433769102153e+00,2.046123736531896553e-01,7.569381317340519123e-04,4.415309341329741528e+02
8.536494946127582807e+03,5.421154548485175155e+02,2.227654670664870551e+01,3.105185604797845222e+00,1.505876263468104170e+01,9.623468177272241064e+02,3.726222725757414196e+02,9.411726646675650775e+07,8.967236753769100233e+00,2.070123736531896685e-01,7.529381317340521403e-04,4.455309341329741528e+02
9.528494946127584626e+03,5.407645451514825936e+02,2.247654670664870835e+01,3.141185604797844810e+00,1.502123736531896014e+01,9.709868177272242065e+02,3.769422725757414128e+02,9.388273353324349225e+07,9.047745073769101865e+00,2.094123736531896540e-01,7.510618682659479881e-04,4.495309341329741528e+02
9.479505053872413555e+03,5.436445451514824754e+02,2.267654670664871119e+01,3.177185604797844842e+00,1.510123736531895844e+01,9.796268177272243065e+02,3.812622725757413491e+02,9.438273353324349225e+07,9.128253393769101720e+00,2.118123736531896673e-01,7.550618682659479769e-04,4.535309341329742097e+02
8.487505053872411736e+03,5.465245451514826982e+02,2.287654670664870693e+01,3.213185604797844874e+00,1.518123736531896206e+01,9.882668177272241792e+02,3.855822725757413991e+02,9.488273353324352205e+07,9.208761713769101576e+00,2.142123736531896805e-01,7.590618682659481826e-04,4.575309341329741528e+02
7.495505053872409917e+03,5.494045451514828073e+02,2.307654670664870622e+01,3.249185604797844906e+00,1.526123736531896569e+01,9.969068177272240519e+02,3.899022725757413923e+02,9.538273353324353695e+07,9.289270033769101431e+00,2.166123736531896382e-01,7.630618682659482798e-04,4.615309341329741528e+02
6.503505053872409007e+03,5.522845451514828028e+02,2.327654670664870906e+01,3.285185604797844938e+00,1.534123736531896576e+01,1.005546817727224152e+03,3.942222725757413855e+02,9.588273353324353695e+07,9.369778353769101287e+00,2.190123736531896514e-01,7.670618682659482686e-04,4.655309341329741528e+02
6.488494946127592812e+03,5.551645451514827982e+02,2.347654670664871190e+01,3.321185604797845414e+00,1.542123736531896583e+01,1.014186817727224252e+03,3.985422725757414355e+02,9.638273353324353695e+07,9.450286673769102919e+00,2.214123736531896647e-01,7.710618682659483658e-04,4.695309341329742097e+02
7.480494946127593721e+03,5.580445451514826800e+02,2.367654670664870764e+01,3.357185604797844558e+00,1.550123736531896412e+01,1.022826817727224125e+03,4.028622725757413718e+02,9.688273353324352205e+07,9.530794993769100998e+00,2.238123736531896224e-01,7.750618682659482462e-04,4.735309341329741528e+02
8.472494946127586445e+03,5.609245451514827892e+02,2.387654670664870693e+01,3.393185604797845034e+00,1.558123736531896597e+01,1.031466817727224225e+03,4.071822725757414219e+02,9.738273353324353695e+07,9.611303313769100853e+00,2.262123736531896634e-01,7.790618682659482350e-04,4.775309341329741528e+02
9.464494946127588264e+03,5.638045451514827846e+02,2.407654670664870622e+01,3.429185604797845066e+00,1.566123736531896604e+01,1.040106817727224097e+03,4.115022725757414150e+02,9.788273353324353695e+07,9.691811633769102485e+00,2.286123736531896766e-01,7.830618682659483323e-04,4.815309341329741528e+02
9.543505053872409917e+03,5.666845451514826664e+02,2.427654670664870906e+01,3.465185604797844654e+00,1.574123736531896434e+01,1.048746817727224197e+03,4.158222725757414082e+02,9.838273353324352205e+07,9.772319953769102341e+00,2.310123736531896621e-01,7.870618682659482127e-04,4.855309341329741528e+02
8.551505053872408098e+03,5.695645451514826618e+02,2.447654670664870835e+01,3.501185604797845130e+00,1.582123736531896441e+01,1.057386817727224070e+03,4.201422725757414014e+02,9.888273353324352205e+07,9.852828273769102196e+00,2.334123736531896753e-01,7.910618682659482015e-04,4.895309341329741528e+02
7.559505053872415374e+03,5.724445451514827710e+02,2.467654670664870764e+01,3.537185604797844718e+00,1.590123736531896448e+01,1.066026817727224170e+03,4.244622725757413946e+02,9.938273353324353695e+07,9.933336593769100276e+00,2.358123736531896608e-01,7.950618682659482987e-04,4.935309341329740960e+02
6.567505053872414464e+03,5.753245451514827664e+02,2.487654670664870693e+01,3.573185604797844750e+00,1.598123736531896633e+01,1.074666817727224043e+03,4.287822725757413878e+02,9.988273353324353695e+07,1.001384491376910191e+01,2.382123736531896463e-01,7.990618682659482875e-04,4.975309341329741528e+02
6.424494946127587355e+03,5.782045451514827619e+02,2.507654670664870977e+01,3.609185604797844782e+00,1.606123736531896640e+01,1.083306817727224143e+03,4.331022725757413809e+02,1.003827335332435369e+08,1.009435323376910176e+01,2.406123736531896595e-01,8.030618682659483847e-04,5.015309341329741528e+02
7.416494946127589174e+03,5.810845451514827573e+02,2.527654670664870906e+01,3.645185604797844370e+00,1.614123736531896469e+01,1.091946817727224243e+03,4.374222725757413173e+02,1.008827335332435220e+08,1.017486155376910162e+01,2.430123736531896450e-01,8.070618682659482651e-04,5.055309341329741528e+02
8.408494946127590083e+03,5.839645451514827528e+02,2.547654670664870480e+01,3.681185604797844846e+00,1.622123736531896654e+01,1.100586817727224116e+03,4.417422725757413673e+02,1.013827335332435369e+08,1.025536987376910147e+01,2.454123736531896582e-01,8.110618682659482539e-04,5.095309341329740960e+02
9.400494946127582807e+03,5.868445451514827482e+02,2.567654670664870764e+01,3.717185604797844878e+00,1.630123736531896483e+01,1.109226817727223988e+03,4.460622725757414173e+02,1.018827335332435369e+08,1.033587819376910133e+01,2.478123736531896437e-01,8.150618682659482427e-04,5.135309341329741528e+02
9.607505053872406279e+03,5.897245451514828574e+02,2.587654670664871048e+01,3.746814395202155978e+00,1.638123736531896668e+01,1.117866817727224316e+03,4.496177274242587032e+02,1.023827335332435369e+08,1.041638651376910119e+01,2.497876263468103986e-01,8.190618682659483400e-04,5.175309341329741528e+02
8.615505053872404460e+03,5.926045451514827391e+02,2.607654670664870977e+01,3.710814395202155502e+00,1.646123736531896498e+01,1.126506817727224188e+03,4.452977274242585963e+02,1.028827335332435369e+08,1.049689483376910282e+01,2.473876263468103576e-01,8.230618682659482203e-04,5.215309341329741528e+02
7.623505053872402641e+03,5.954845451514827346e+02,2.627654670664870906e+01,3.674814395202154582e+00,1.654123736531896682e+01,1.135146817727224061e+03,4.409777274242585463e+02,1.033827335332435369e+08,1.057740315376910090e+01,2.449876263468103166e-01,8.270618682659483176e-04,5.255309341329741528e+02
6.631505053872410826e+03,5.983645451514827300e+02,2.647654670664870480e+01,3.638814395202154550e+00,1.662123736531896512e+01,1.143786817727224161e+03,4.366577274242585531e+02,1.038827335332435369e+08,1.065791147376910075e+01,2.425876263468103033e-01,8.310618682659483064e-04,5.295309341329741528e+02
6.360494946127590993e+03,6.012445451514827255e+02,2.667654670664870764e+01,3.602814395202154962e+00,1.670123736531896697e+01,1.152426817727224261e+03,4.323377274242586168e+02,1.043827335332435369e+08,1.073841979376910238e+01,2.401876263468103456e-01,8.350618682659482952e-04,5.335309341329741528e+02
7.352494946127592812e+03,6.041245451514828346e+02,2.687654670664871048e+01,3.566814395202154930e+00,1.678123736531896881e+01,1.161066817727224361e+03,4.280177274242585668e+02,1.048827335332435519e+08,1.081892811376910224e+01,2.377876263468103324e-01,8.390618682659483924e-04,5.375309341329741528e+02
8.344494946127593721e+03,6.070045451514827164e+02,2.707654670664870622e+01,3.530814395202155342e+00,1.686123736531896711e+01,1.169706817727224234e+03,4.236977274242586304e+02,1.053827335332435369e+08,1.089943643376910209e+01,2.353876263468103469e-01,8.430618682659482728e-04,5.415309341329741528e+02
9.336494946127595540e+03,6.098845451514828255e+02,2.727654670664870551e+01,3.494814395202155310e+00,1.694123736531896540e+01,1.178346817727224106e+03,4.193777274242586373e+02,1.058827335332435369e+08,1.097994475376910017e+01,2.329876263468103337e-01,8.470618682659483700e-04,5.455309341329741528e+02
9.671505053872411736e+03,6.127645451514828210e+02,2.747654670664870835e+01,3.458814395202154834e+00,1.702123736531896725e+01,1.186986817727224206e+03,4.150577274242585872e+02,1.063827335332435369e+08,1.106045307376910181e+01,2.305876263468103204e-01,8.510618682659483588e-04,5.495309341329741528e+02
8.679505053872409917e+03,6.156445451514827027e+02,2.767654670664870764e+01,3.422814395202155247e+00,1.710123736531896554e+01,1.195626817727224307e+03,4.107377274242586509e+02,1.068827335332435369e+08,1.114096139376910344e+01,2.281876263468103627e-01,8.550618682659482392e-04,5.535309341329741528e+02
7.687505053872408098e+03,6.185245451514826982e+02,2.787654670664871048e+01,3.386814395202154770e+00,1.718123736531896384e+01,1.204266817727224179e+03,4.064177274242586009e+02,1.073827335332435369e+08,1.122146971376910152e+01,2.257876263468103217e-01,8.590618682659482280e-04,5.575309341329741528e+02
6.695505053872407188e+03,6.214045451514828073e+02,2.807654670664870622e+01,3.350814395202154738e+00,1.726123736531896569e+01,1.212906817727224052e+03,4.020977274242585509e+02,1.078827335332435369e+08,1.130197803376910137e+01,2.233876263468103085e-01,8.630618682659483253e-04,5.615309341329741528e+02
6.296494946127585536e+03,6.242845451514828028e+02,2.827654670664870906e+01,3.314814395202155151e+00,1.734123736531896753e+01,1.221546817727224152e+03,3.977777274242586145e+02,1.083827335332435369e+08,1.138248635376910300e+01,2.209876263468103508e-01,8.670618682659483141e-04,5.655309341329741528e+02
7.288494946127586445e+03,6.271645451514827982e+02,2.847654670664870835e+01,3.278814395202155119e+00,1.742123736531896583e+01,1.230186817727224252e+03,3.934577274242585645e+02,1.088827335332435519e+08,1.146299467376910286e+01,2.185876263468103375e-01,8.710618682659484113e-04,5.695309341329741528e+02
8.280494946127588264e+03,6.300445451514827937e+02,2.867654670664870764e+01,3.242814395202155531e+00,1.750123736531896412e+01,1.238826817727224125e+03,3.891377274242586282e+02,1.093827335332435369e+08,1.154350299376910272e+01,2.161876263468103521e-01,8.750618682659482917e-04,5.735309341329741528e+02
9.272494946127590083e+03,6.329245451514827892e+02,2.887654670664870693e+01,3.206814395202155055e+00,1.758123736531896597e+01,1.247466817727224225e+03,3.848177274242586350e+02,1.098827335332435369e+08,1.162401131376910257e+01,2.137876263468103388e-01,8.790618682659482805e-04,5.775309341329741528e+02
9.735505053872408098e+03,6.358045451514827846e+02,2.907654670664870622e+01,3.170814395202154579e+00,1.766123736531896782e+01,1.256106817727224097e+03,3.804977274242585850e+02,1.103827335332435369e+08,1.170451963376910243e+01,2.113876263468103256e-01,8.830618682659483777e-04,5.815309341329741528e+02
8.743505053872415374e+03,6.386845451514827801e+02,2.927654670664870906e+01,3.134814395202155435e+00,1.774123736531896611e+01,1.264746817727224197e+03,3.761777274242586486e+02,1.108827335332435369e+08,1.178502795376910228e+01,2.089876263468103679e-01,8.870618682659482581e-04,5.855309341329741528e+02
7.751505053872413555e+03,6.415645451514827755e+02,2.947654670664870480e+01,3.098814395202154959e+00,1.782123736531896441e+01,1.273386817727224070e+03,3.718577274242585986e+02,1.113827335332435369e+08,1.186553627376910214e+01,2.065876263468103269e-01,8.910618682659482469e-04,5.895309341329741528e+02
6.759505053872411736e+03,6.444445451514827710e+02,2.967654670664870409e+01,3.062814395202154927e+00,1.790123736531896625e+01,1.282026817727223943e+03,3.675377274242585486e+02,1.118827335332435369e+08,1.194604459376910022e+01,2.041876263468103136e-01,8.950618682659482357e-04,5.935309341329741528e+02
6.232494946127589174e+03,6.473245451514827664e+02,2.987654670664870693e+01,3.026814395202155339e+00,1.798123736531896810e+01,1.290666817727224043e+03,3.632177274242586691e+02,1.123827335332435369e+08,1.202655291376910185e+01,2.017876263468103559e-01,8.990618682659483329e-04,5.975309341329741528e+02
7.224494946127590993e+03,6.502045451514827619e+02,3.007654670664870622e+01,2.990814395202154863e+00,1.806123736531896640e+01,1.299306817727224143e+03,3.588977274242586191e+02,1.128827335332435369e+08,1.210706123376910170e+01,1.993876263468103427e-01,9.030618682659484302e-04,6.015309341329741528e+02
8.216494946127593721e+03,6.530845451514828710e+02,3.027654670664871261e+01,2.954814395202154831e+00,1.814123736531896824e+01,1.307946817727224243e+03,3.545777274242585690e+02,1.133827335332435519e+08,1.218756955376910334e+01,1.969876263468103017e-01,9.070618682659484190e-04,6.055309341329742665e+02
9.208494946127593721e+03,6.559645451514827528e+02,3.047654670664870835e+01,2.918814395202155243e+00,1.822123736531896654e+01,1.316586817727224116e+03,3.502577274242586327e+02,1.138827335332435369e+08,1.226807787376910142e+01,1.945876263468103440e-01,9.110618682659482994e-04,6.095309341329741528e+02
9.799505053872413555e+03,6.588445451514827482e+02,3.067654670664870764e+01,2.882814395202154767e+00,1.830123736531896839e+01,1.325226817727223988e+03,3.459377274242585827e+02,1.143827335332435369e+08,1.234858619376910127e+01,1.921876263468103307e-01,9.150618682659482882e-04,6.135309341329741528e+02
8.807505053872402641e+03,6.617245451514828574e+02,3.087654670664871048e+01,2.846814395202154735e+00,1.838123736531896668e+01,1.333866817727224316e+03,3.416177274242585327e+02,1.148827335332435369e+08,1.242909451376910113e+01,1.897876263468102898e-01,9.190618682659483854e-04,6.175309341329741528e+02
7.815505053872409917e+03,6.646045451514827391e+02,3.107654670664871333e+01,2.810814395202155147e+00,1.846123736531896498e+01,1.342506817727224416e+03,3.372977274242585963e+02,1.153827335332435369e+08,1.250960283376910454e+01,1.873876263468103320e-01,9.230618682659482658e-04,6.215309341329742665e+02
6.823505053872417193e+03,6.674845451514827346e+02,3.122345329335129804e+01,2.774814395202154671e+00,1.854123736531896682e+01,1.348853182272776166e+03,3.329777274242585463e+02,1.158827335332435369e+08,1.256873884623090198e+01,1.849876263468103188e-01,9.270618682659482546e-04,6.244690658670259609e+02
6.168494946127592812e+03,6.703645451514828437e+02,3.102345329335129520e+01,2.738814395202154639e+00,1.862123736531896867e+01,1.340213182272776066e+03,3.286577274242585531e+02,1.163827335332435369e+08,1.248823052623090035e+01,1.825876263468103056e-01,9.310618682659483518e-04,6.204690658670259609e+02
7.160494946127585536e+03,6.732445451514828392e+02,3.082345329335129236e+01,2.702814395202155051e+00,1.870123736531896697e+01,1.331573182272775739e+03,3.243377274242586168e+02,1.168827335332435369e+08,1.240772220623089872e+01,1.801876263468103478e-01,9.350618682659483406e-04,6.164690658670258472e+02
8.152494946127595540e+03,6.761245451514828346e+02,3.062345329335128952e+01,2.666814395202155019e+00,1.878123736531896881e+01,1.322933182272775639e+03,3.200177274242585668e+02,1.173827335332435519e+08,1.232721388623089709e+01,1.777876263468103069e-01,9.390618682659484379e-04,6.124690658670257335e+02
9.144494946127588264e+03,6.790045451514827164e+02,3.042345329335129378e+01,2.630814395202155431e+00,1.886123736531896355e+01,1.314293182272775994e+03,3.156977274242586304e+02,1.178827335332435369e+08,1.224670556623090079e+01,1.753876263468103491e-01,9.430618682659483182e-04,6.084690658670259609e+02
9.863505053872400822e+03,6.818845451514828255e+02,3.022345329335129449e+01,2.594814395202154955e+00,1.894123736531896540e+01,1.305653182272775894e+03,3.113777274242585804e+02,1.183827335332435369e+08,1.216619724623090093e+01,1.729876263468103359e-01,9.470618682659483071e-04,6.044690658670258472e+02
8.871505053872408098e+03,6.847645451514828210e+02,3.002345329335129520e+01,2.558814395202154479e+00,1.902123736531896725e+01,1.297013182272775794e+03,3.070577274242585872e+02,1.188827335332435369e+08,1.208568892623089930e+01,1.705876263468102949e-01,9.510618682659482959e-04,6.004690658670258472e+02
7.879505053872415374e+03,6.876445451514827027e+02,2.982345329335129236e+01,2.522814395202155335e+00,1.910123736531896554e+01,1.288373182272775693e+03,3.027377274242586509e+02,1.193827335332435369e+08,1.200518060623089767e+01,1.681876263468103372e-01,9.550618682659482847e-04,5.964690658670258472e+02
6.887505053872404460e+03,6.905245451514826982e+02,2.962345329335128952e+01,2.486814395202154859e+00,1.918123736531896384e+01,1.279733182272775593e+03,2.984177274242586009e+02,1.198827335332435369e+08,1.192467228623089781e+01,1.657876263468103240e-01,9.590618682659482735e-04,5.924690658670258472e+02
6.104494946127587355e+03,6.934045451514828073e+02,2.942345329335129378e+01,2.450814395202154827e+00,1.926123736531896569e+01,1.271093182272775948e+03,2.940977274242585509e+02,1.203827335332435369e+08,1.184416396623089973e+01,1.633876263468103107e-01,9.630618682659483707e-04,5.884690658670258472e+02
7.096494946127598269e+03,6.962845451514828028e+02,2.922345329335129094e+01,2.414814395202154351e+00,1.934123736531896753e+01,1.262453182272775848e+03,2.897777274242585008e+02,1.208827335332435369e+08,1.176365564623089810e+01,1.609876263468102975e-01,9.670618682659483595e-04,5.844690658670258472e+02
8.088494946127590993e+03,6.991645451514827982e+02,2.902345329335128810e+01,2.378814395202154763e+00,1.942123736531896583e+01,1.253813182272775748e+03,2.854577274242585645e+02,1.213827335332435369e+08,1.168314732623089824e+01,1.585876263468103120e-01,9.710618682659483483e-04,5.804690658670258472e+02
9.080494946127600997e+03,7.020445451514829074e+02,2.882345329335128881e+01,2.342814395202154287e+00,1.950123736531896768e+01,1.245173182272775648e+03,2.811377274242585145e+02,1.218827335332435519e+08,1.160263900623089839e+01,1.561876263468102988e-01,9.750618682659484455e-04,5.764690658670258472e+02
9.927505053872406279e+03,7.049245451514827892e+02,2.862345329335129662e+01,2.306814395202155143e+00,1.958123736531896597e+01,1.236533182272776003e+03,2.768177274242586350e+02,1.223827335332435369e+08,1.152213068623090031e+01,1.537876263468103410e-01,9.790618682659483259e-04,5.724690658670258472e+02
8.935505053872395365e+03,7.078045451514827846e+02,2.842345329335129378e+01,2.270814395202154223e+00,1.966123736531896782e+01,1.227893182272775903e+03,2.724977274242585281e+02,1.228827335332435369e+08,1.144162236623089868e+01,1.513876263468103001e-01,9.830618682659484232e-04,5.684690658670258472e+02
